T360,EPSdp,DP-FA9,40,40,40,40,40,40,40,40,40,40,40,40
P789,EPSdp,DP-FA9,40,40,40,40,40,40,40,40,40,40,40,40
T6,EPSdp,DP-FA9,40,40,40,40,40,40,40,40,40,40,40,40
T6-RHD,EPSdp,DP-FA9,40,40,40,40,40,40,40,40,40,40,40,40
PT025,EPSdp,DP-FA9,40,40,40,40,40,40,40,40,40,40,40,40
F30,EPSdp,DP-FA9,40,40,40,40,40,40,40,40,40,40,40,40
BWI,EPSdp,DP-FA9,40,40,40,40,40,40,40,40,40,40,40,40
37W,EPSdp,DP-FA9,40,40,40,40,40,40,40,40,40,40,40,40
PMA-2,EPSdp,DP-FA9,40,40,40,40,40,40,40,40,40,40,40,40
D2UC-2,EPSdp,DP-FA13,40,40,40,40,40,40,40,40,40,40,40,40
F1,EPSdp,DP-FA13,40,40,40,40,40,40,40,40,40,40,40,40
BEV3,EPSdp,DP-FA13,40,40,40,40,40,40,40,40,40,40,40,40
37W,EPSdp,DP-FA13,40,40,40,40,40,40,40,40,40,40,40,40
BWI,EPSdp,DP-FA13,40,40,40,40,40,40,40,40,40,40,40,40
030D,EPSapa,APA-FA1,53,53,53,53,53,53,53,53,53,53,53,53
IM31,EPSapa,APA-FA1,53,53,53,53,53,53,53,53,53,53,53,53
X02/X03,EPSapa,APA-FA1,53,53,53,53,53,53,53,53,53,53,53,53
G38,EPSapa,APA-FA2,53,53,53,53,53,53,53,53,53,53,53,53
SPA1,EPSapa,APA-FA3,53,53,53,53,53,53,53,53,53,53,53,53
MRA2,EPSapa,APA-FA3,53,53,53,53,53,53,53,53,53,53,53,53
EX11,EPSapa,APA-FA3,53,53,53,53,53,53,53,53,53,53,53,53
ESEA,EPSapa,APA-FA5,53,53,53,53,53,53,53,53,53,53,53,53
X02/X03,EPSapa,APA-FA5,53,53,53,53,53,53,53,53,53,53,53,53
BEV3,EPSapa,APA-FA5,53,53,53,53,53,53,53,53,53,53,53,53
SGM458,EPSapa,APA-FA5,53,53,53,53,53,53,53,53,53,53,53,53
358-2,EPSapa,APA-FA5,53,53,53,53,53,53,53,53,53,53,53,53
O1SL-2,EPSapa,APA-FA5,53,53,53,53,53,53,53,53,53,53,53,53
SQ/SF/PAHD,EPSapa,APA-FA7,75,75,75,75,75,75,75,75,75,75,75,75
