Plant,Line,202301-SWD,202302-SWD,202303-SWD,202304-SWD,202305-SWD,202306-SWD,202307-SWD,202308-SWD,202309-SWD,202310-SWD,202311-SWD,202312-SWD,202301-POT,202302-POT,202303-POT,202304-POT,202305-POT,202306-POT,202307-POT,202308-POT,202309-POT,202310-POT,202311-POT,202312-POT,202301-OEE,202302-OEE,202303-OEE,202304-OEE,202305-OEE,202306-OEE,202307-OEE,202308-OEE,202309-OEE,202310-OEE,202311-OEE,202312-OEE,202301-DT,202302-DT,202303-DT,202304-DT,202305-DT,202306-DT,202307-DT,202308-DT,202309-DT,202310-DT,202311-DT,202312-DT
ShP,APA-FA4,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
ShP,APA-FA6,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
ShP,APA-KGT4,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
ShP,APA-KGT6,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0,0,0,0,0,0,0,0.3,0.4,0.5,0.6,0.65,0,0,0,0,0,0,0,0,0,0,0,0
YtP,DP-FA4,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
YtP,DP-FA6,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
YtP,DP-FA7,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
YtP,DP-FA12,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
YtP,SS3,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
YtP,SS5,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
YtP,DP-SV4,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
YtP,DP-SV5,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
YtP,PP2,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
YtP,PP4,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
WhP,DP-FA2,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
WhP,DP-FA8,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
WhP,DP-FA9,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
WhP,DP-FA13,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
WhP,SS4,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
WhP,SS5,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
WhP,DP-SV6,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
WhP,DP-SV8,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
WhP,DP-SV9,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
WhP,PP5,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
WhP,PP8,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
WhP,PP9,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
NjP,APA-FA1,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
NjP,APA-FA2,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
NjP,APA-FA3,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
NjP,APA-FA5,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
NjP,APA-FA7,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
NjP,APA-KGT1,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
NjP,APA-KGT2,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
NjP,APA-KGT3,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
NjP,APA-KGT5,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0,0,0,0,0,0,0.3,0.4,0.5,0.6,0.65,0.65,0,0,0,0,0,0,0,0,0,0,0,0
NjP,SS8,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
NjP,SS9,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0,0,0,0.5,0.6,0.65,0.68,0.7,0.72,0.72,0.72,0.72,0,0,0,0,0,0,0,0,0,0,0,0
NjP,PP11,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
NjP,PP12,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
NjP,PP13,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0,0,0,0.5,0.6,0.65,0.68,0.7,0.72,0.72,0.72,0.72,0,0,0,0,0,0,0,0,0,0,0,0
WhP,PA1,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0
WhP,PA2,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0
WhP,PB1,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0
WhP,PB2,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0
ShP,DR1,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0
ShP,DR2,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0
YtP,DR3,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0
YtP,DR4,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0
SUP,SUPDR,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0
NjP,AR1,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0
NjP,AR2,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0
NjP,AN1,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0
NjP,AN2,23.78,21.48,23.78,23.01,23.78,23.01,23.78,23.78,23.01,23.78,23.01,23.78,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0
