2023-0038,AU381/0 CN,37W,YtP,EPSdp,1440.936,2436.588,2317.14,2317.14,2317.14,2317.14,2317.14,2317.14,2317.14,2317.14,2317.14,2317.14
2023-0039,AU380/1 CN,37W,YtP,EPSdp,1964.088,1719.9,1767.528,1767.528,1767.528,1767.528,1767.528,1767.528,1767.528,1767.528,1767.528,1767.528
2023-0040,VW380/0 CN,37W,WhP,EPSdp,2961.252,4441.5,3701.376,3701.376,3701.376,3701.376,3701.376,3701.376,3701.376,3701.376,3701.376,3701.376
2023-0041,VW416/2 CN,41b,YtP,EPSdp,860.328,1719.9,2380.644,1719.9,1719.9,1719.9,2380.644,1719.9,1719.9,1719.9,1719.9,1719.9
2023-0042,VW416/3 CN,41b,YtP,EPSdp,860.328,1719.9,1719.9,1719.9,1719.9,1719.9,2522.772,1719.9,1719.9,1719.9,1719.9,1719.9
2023-0043,VW483/0 CN,BWI,YtP,EPSdp,1509.732,1238.328,0,0,0,0,0,0,0,0,0,0
2023-0044,VW481/0 CN,BWI,YtP,EPSdp,3439.8,5090.904,0,0,0,0,0,0,0,0,0,0
2023-0045,VW483/1 CN,BWI,YtP,EPSdp,370.44,412.776,0,0,0,0,0,0,0,0,0,0
2023-0046,Superb,BWI,ShP,EPSdp,136.08,158.76,158.76,158.76,181.44,181.44,226.8,226.8,249.48,226.8,181.44,181.44
2023-0047,Golf,BWI,ShP,EPSdp,14079.744,16426.368,16426.368,16426.368,18772.992,18772.992,23466.24,23466.24,25812.864,23466.24,18772.992,18772.992
2023-0048,Golf,BWI,WhP,EPSdp,136.08,158.76,158.76,158.76,181.44,181.44,226.8,226.8,249.48,226.8,181.44,181.44
2023-0049,Golf,BWI,ShP,EPSdp,6350.4,7408.8,7408.8,7408.8,8467.2,8467.2,10584,10584,11642.4,10584,8467.2,8467.2
2023-0050,Kodiaq,BWI,WhP,EPSdp,90.72,105.84,105.84,105.84,120.96,120.96,151.2,151.2,166.32,151.2,120.96,120.96
