2023-0037, H97 ,H97,WhP,EPSdp,1003.968,968.16384,1072.43136,856.3968,1030.5792,1037.8368,1369.872,1065.96,1292.76,1782.648,1660.176,1478.736
2023-0038, HC ,HC,ShP,EPSdp,756,756,756,756,756,756,756,756,756,756,756,756
2023-0039, HCE ,HC,ShP,EPSdp,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024
2023-0040, V206 ,MRA2,YtP,EPSdp,6806.571912,9255.381408,10884.41777,8444.616768,9413.030088,9585.692928,8256.18906,9190.82052,7562.534868,8259.9426,10662.95891,10147.22251
2023-0041, V214 ,MRA2,YtP,EPSdp,0,0,118.5408,7.4088,282.27528,0,1148.364,3093.174,6349.3416,8128.93536,13023.92952,13521.80088
2023-0042, N356 ,N356,WH,EPSdp,302.4,151.2,302.4,0,0,0,0,0,0,0,0,0
2023-0043, FY11 ,NL-5,ShP,EPSdp,238.14,238.896,238.896,238.896,238.896,238.896,238.896,238.896,238.896,238.896,240.408,241.164
2023-0044, FY11-21A ,NL-5,ShP,EPSdp,143.64,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,152.712,158.76
2023-0045, FY11-DA ,NL-5,ShP,EPSdp,181.44,189,189,189,189,189,189,189,189,191.268,192.78,192.78
2023-0046, P789 ,P789,WhP,EPSdp,0,0,0,302.4,378,302.4,378,378,378,378,378,378
2023-0047, PA ,PAH,ShP,EPSdp,0,0,0,0,0,0,0,0,192.78,756,2268,3024
2023-0048, BX1E ,PMA-2,WhP,EPSdp,0,0,0,1134,2268,3402,4536,5292,6048,6426,6426,6426
2023-0049, BX1E ,PMA-2,WhP,EPSdp,0,0,0,0,0,0,0,0,0,0,0,0
2023-0050, PT026 ,PT025,WhP,EPSdp,0,0,0,151.2,604.8,756,1134,1512,1512,1512,1512,1512
2023-0051, S106 ,S106,WhP,EPSdp,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6
2023-0052, STDM ,ST,ShP,EPSdp,756,756,1134,1134,1512,1512,1512,1512,1512,1512,1512,1512
2023-0053, STE ,ST,ShP,EPSdp,1512,2721.6,4460.4,5065.2,5292,5292,5292,5292,5292,5292,5292,5292
2023-0054, T22 ,T2X,ShP,EPSdp,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512
2023-0055, T26 ,T2X,ShP,EPSdp,0,0,0,2268,2268,2268,2268,2268,2268,2268,2646,2646
2023-0056, T360 ,T360,WhP,EPSdp,0,0,0,0,0,75.6,75.6,75.6,75.6,75.6,75.6,75.6
2023-0057, T360 NEV ,T360,WhP,EPSdp,0,0,0,0,0,0,0,0,0,0,0,0
2023-0058, PF6 ,T6,WhP,EPSdp,1814.4,3300.696,2668.68,0,0,0,0,0,0,0,0,0
2023-0059, PF6 ,T6,WhP,EPSdp,0,0,0,1134,3402,3553.2,3780,3553.2,3780,4687.2,4687.2,4687.2
2023-0060, PF6 ,T6,WhP,EPSdp,2268,2494.8,2812.32,2222.64,0,0,0,0,0,0,0,0
2023-0061, PF6 ,T6,WhP,EPSdp,0,0,0,0,317.52,4291.056,4536,4536,4687.2,4536,4747.68,4687.2
2023-0062, PF6 ,T6-RHD,WhP,EPSdp,0,0,0,0,0,0,0,0,378,378,378,378
2023-0063, PF6 ,THAA,WhP,EPSdp,0,2927.232,1512,0,0,0,0,0,0,0,0,0
2023-0064, PF6 ,THAA,WhP,EPSdp,0,0,756,2268,2268,2268,2268,2268,2268,2268,2268,2268
2023-0065, PF6 ,THAA,WhP,EPSdp,952.56,3764.88,0,0,0,0,0,0,0,0,0,0
2023-0066, PF6 ,THAA,WhP,EPSdp,0,0,0,1557.36,1406.16,1270.08,1270.08,1315.44,1587.6,1360.8,272.16,272.16
2023-0067, PF3 ,TVAA,WhP,EPSdp,12471.732,13608,13126.428,0,0,0,0,0,0,0,0,0
2023-0068, PF3 ,TVAA,WhP,EPSdp,3556.98,3356.64,2177.28,0,0,0,0,0,0,0,0,0
2023-0069, UXE ,UX,ShP,EPSdp,0,192.78,756,3780,6048,7560,9072,9072,9072,9072,9072,9072
2023-0070, X1 ,X1,WhP,EPSdp,5541.1776,4572.288,5562.9504,5530.2912,5573.8368,5545.53216,5214.5856,5225.472,6545.448,6940.08,7356.4848,7348.32
